appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
3837814_111455,3837814,111455,11,289,2022-08-05,Granit Xhaka,GB1,1,0,0,0,90
3837814_207014,3837814,207014,873,873,2022-08-05,Will Hughes,GB1,0,0,0,0,4
3837814_260827,3837814,260827,873,931,2022-08-05,Joachim Andersen,GB1,0,0,0,0,90
3837814_316264,3837814,316264,11,11,2022-08-05,Martin Ødegaard,GB1,0,0,0,0,90
3837814_392757,3837814,392757,873,281,2022-08-05,Marc Guéhi,GB1,0,0,0,0,90
3837814_420002,3837814,420002,873,873,2022-08-05,Jean-Philippe Mateta,GB1,0,0,0,0,32
3837814_433177,3837814,433177,11,11,2022-08-05,Bukayo Saka,GB1,0,0,0,0,90
3837814_435338,3837814,435338,11,11,2022-08-05,Gabriel,GB1,0,0,0,0,90
3837814_479999,3837814,479999,873,11,2022-08-05,Eberechi Eze,GB1,0,0,0,0,86
3837814_495666,3837814,495666,11,11,2022-08-05,William Saliba,GB1,0,0,0,0,90
3837814_655488,3837814,655488,11,11,2022-08-05,Gabriel Martinelli,GB1,0,0,1,0,90
3837814_730893,3837814,730893,873,873,2022-08-05,Tyrick Mitchell,GB1,0,0,0,0,90
3839025_161056,3839025,161056,27,27,2022-08-05,Joshua Kimmich,L1,0,0,1,0,90
3839025_212723,3839025,212723,24,368,2022-08-05,Djibril Sow,L1,0,0,0,0,90
3839025_371149,3839025,371149,24,12,2022-08-05,Evan Ndicka,L1,1,0,0,0,90
3839025_478573,3839025,478573,27,31,2022-08-05,Ryan Gravenberch,L1,0,0,0,0,33
3839732_607223,3839732,607223,1041,281,2022-08-05,Rayan Cherki,FR1,0,0,0,0,1
3837815_105470,3837815,105470,31,31,2022-08-06,Alisson,GB1,0,0,0,0,90
3837815_139208,3837815,139208,31,31,2022-08-06,Virgil van Dijk,GB1,0,0,0,0,90
3837815_148455,3837815,148455,31,31,2022-08-06,Mohamed Salah,GB1,0,0,1,0,90
3837815_314353,3837815,314353,31,418,2022-08-06,Trent Alexander-Arnold,GB1,0,0,0,0,90
3837815_349701,3837815,349701,931,931,2022-08-06,Antonee Robinson,GB1,0,0,0,0,90
3837815_480692,3837815,480692,31,27,2022-08-06,Luis Díaz,GB1,0,0,0,0,78
3837816_132098,3837816,132098,148,27,2022-08-06,Harry Kane,GB1,0,0,0,0,90
3837816_167799,3837816,167799,148,244,2022-08-06,Pierre-Emile Højbjerg,GB1,0,0,0,0,90
3837817_134270,3837817,134270,762,762,2022-08-06,Dan Burn,GB1,0,0,0,0,90
3837817_135343,3837817,135343,762,762,2022-08-06,Fabian Schär,GB1,0,0,1,0,90
3837817_199527,3837817,199527,762,762,2022-08-06,Jacob Murphy,GB1,0,0,0,0,1
3837817_470607,3837817,470607,703,873,2022-08-06,Brennan Johnson,GB1,0,0,0,0,90
3837817_503680,3837817,503680,703,703,2022-08-06,Neco Williams,GB1,1,0,0,0,90
3837817_520624,3837817,520624,762,762,2022-08-06,Bruno Guimarães,GB1,0,0,0,0,90
3837819_249994,3837819,249994,543,543,2022-08-06,José Sá,GB1,0,0,0,0,90
3837819_328784,3837819,328784,399,24,2022-08-06,Robin Koch,GB1,0,0,0,0,90
3837819_417346,3837819,417346,399,430,2022-08-06,Jack Harrison,GB1,1,0,0,1,90
3837819_429014,3837819,429014,543,703,2022-08-06,Morgan Gibbs-White,GB1,0,0,0,0,90
3837819_469050,3837819,469050,543,1148,2022-08-06,Nathan Collins,GB1,0,0,0,0,90
3837819_525247,3837819,525247,543,379,2022-08-06,Maximilian Kilman,GB1,0,0,0,0,90
3837820_111873,3837820,111873,405,405,2022-08-06,Emiliano Martínez,GB1,0,0,0,0,90
3837820_126664,3837820,126664,405,405,2022-08-06,Lucas Digne,GB1,0,0,0,0,90
3837820_188077,3837820,188077,989,989,2022-08-06,Ryan Christie,GB1,0,0,0,0,4
3837820_193116,3837820,193116,405,405,2022-08-06,John McGinn,GB1,0,0,0,0,90
3837820_262980,3837820,262980,989,873,2022-08-06,Jefferson Lerma,GB1,0,0,1,0,90
3837820_324358,3837820,324358,405,405,2022-08-06,Ollie Watkins,GB1,0,0,0,0,24
3837820_413403,3837820,413403,405,405,2022-08-06,Ezri Konsa,GB1,0,0,0,0,90
3837821_130164,3837821,130164,29,29,2022-08-06,Jordan Pickford,GB1,0,0,0,0,90
3837821_173504,3837821,173504,29,29,2022-08-06,James Tarkowski,GB1,0,0,0,0,90
3837821_242631,3837821,242631,29,931,2022-08-06,Alex Iwobi,GB1,0,0,0,0,90
3837821_315779,3837821,315779,631,5,2022-08-06,Christian Pulisic,GB1,0,0,0,0,25
3837821_404842,3837821,404842,29,29,2022-08-06,Vitaliy Mykolenko,GB1,1,0,0,0,90
3837821_488362,3837821,488362,631,148,2022-08-06,Conor Gallagher,GB1,0,0,0,0,1
3837821_503733,3837821,503733,29,762,2022-08-06,Anthony Gordon,GB1,0,0,0,0,90
3839026_187492,3839026,187492,16,16,2022-08-06,Julian Brandt,L1,0,0,0,0,22
3839026_196357,3839026,196357,15,27,2022-08-06,Jonathan Tah,L1,1,0,0,0,90
3839026_257814,3839026,257814,16,16,2022-08-06,Gregor Kobel,L1,0,0,0,0,90
3839026_326029,3839026,326029,16,12,2022-08-06,Donyell Malen,L1,0,0,0,0,84
3839026_484547,3839026,484547,15,31,2022-08-06,Jeremie Frimpong,L1,0,0,0,0,90
3839026_564545,3839026,564545,15,15,2022-08-06,Edmond Tapsoba,L1,0,0,0,0,90
3839026_581678,3839026,581678,16,418,2022-08-06,Jude Bellingham,L1,0,0,0,0,90
3839027_107775,3839027,107775,89,89,2022-08-06,Frederik Rönnow,L1,0,0,0,0,90
3839029_192635,3839029,192635,18,18,2022-08-06,Nico Elvedi,L1,0,0,1,0,90
3839029_318528,3839029,318528,18,46,2022-08-06,Marcus Thuram,L1,0,0,1,0,90
3839029_324278,3839029,324278,533,23826,2022-08-06,Christoph Baumgartner,L1,0,0,0,0,80
3839029_42205,3839029,42205,18,46,2022-08-06,Yann Sommer,L1,0,0,0,0,90
3839029_46580,3839029,46580,533,533,2022-08-06,Andrej Kramaric,L1,0,0,0,1,80
3839029_504153,3839029,504153,18,18,2022-08-06,Joe Scally,L1,1,0,0,0,84
3839029_55089,3839029,55089,533,533,2022-08-06,Oliver Baumann,L1,0,0,0,0,90
3839030_289835,3839030,289835,86,86,2022-08-06,Jens Stage,L1,0,0,0,1,90
3839030_327251,3839030,327251,82,23826,2022-08-06,Ridle Baku,L1,0,0,0,0,76
3839030_434224,3839030,434224,82,873,2022-08-06,Maxence Lacroix,L1,0,0,0,0,90
3839031_106872,3839031,106872,80,18,2022-08-06,Kevin Stöger,L1,0,0,1,0,90
3839031_251878,3839031,251878,39,252,2022-08-06,Aarón Martín,L1,0,0,0,0,90
3839031_314398,3839031,314398,39,39,2022-08-06,Jae-sung Lee,L1,0,0,0,0,62
3839031_344069,3839031,344069,39,399,2022-08-06,Anton Stach,L1,1,0,0,1,90
3839032_124502,3839032,124502,60,60,2022-08-06,Matthias Ginter,L1,0,0,1,0,90
3839032_125714,3839032,125714,60,15,2022-08-06,Mark Flekken,L1,0,0,0,0,90
3839032_185077,3839032,185077,60,60,2022-08-06,Vincenzo Grifo,L1,0,0,1,0,82
3839032_190284,3839032,190284,60,60,2022-08-06,Maximilian Eggestein,L1,0,0,0,0,90
3839032_335457,3839032,335457,167,79,2022-08-06,Ermedin Demirovic,L1,0,0,0,0,59
3839032_358504,3839032,358504,60,24,2022-08-06,Ritsu Doan,L1,0,0,1,0,82
3839729_315858,3839729,315858,583,281,2022-08-06,Gianluigi Donnarumma,FR1,0,0,0,0,90
3839729_487469,3839729,487469,583,583,2022-08-06,Vitinha,FR1,1,0,0,0,67
3839735_127202,3839735,127202,667,703,2022-08-06,Matz Sels,FR1,0,0,0,0,90
3839735_195778,3839735,195778,162,79,2022-08-06,Alexander Nübel,FR1,0,0,0,0,90
3839735_215977,3839735,215977,667,826,2022-08-06,Adrien Thomasson,FR1,0,0,0,0,90
3839735_283994,3839735,283994,667,3911,2022-08-06,Ludovic Ajorque,FR1,0,0,0,0,66
3839735_569598,3839735,569598,162,5,2022-08-06,Youssouf Fofana,FR1,1,0,0,0,90
3837818_249565,3837818,249565,1003,405,2022-08-07,Youri Tielemans,GB1,0,0,0,0,90
3837818_262226,3837818,262226,1003,931,2022-08-07,Timothy Castagne,GB1,0,0,1,0,90
3837818_262749,3837818,262749,1148,11,2022-08-07,David Raya,GB1,0,0,0,0,90
3837818_270171,3837818,270171,1148,1148,2022-08-07,Vitaly Janelt,GB1,0,0,0,0,90
3837818_319859,3837818,319859,1148,1148,2022-08-07,Mathias Jensen,GB1,0,0,0,0,59
3837818_388165,3837818,388165,1148,762,2022-08-07,Yoane Wissa,GB1,0,0,0,0,83
3837818_413039,3837818,413039,1148,985,2022-08-07,Bryan Mbeumo,GB1,0,0,0,0,90
3837822_144028,3837822,144028,1237,11,2022-08-07,Leandro Trossard,GB1,1,0,0,0,75
3837822_148153,3837822,148153,1237,1237,2022-08-07,Lewis Dunk,GB1,0,0,0,0,90
3837822_240306,3837822,240306,985,985,2022-08-07,Bruno Fernandes,GB1,0,0,0,0,90
3837822_258923,3837822,258923,985,131,2022-08-07,Marcus Rashford,GB1,0,0,0,0,90
